review_id,sample_id,scenario_id,raw_event_reference,"raw_observed_attacker_ip (network fact, NOT CYUKTI output)",labeling_method,evidence_reference,"attacker_identity (fill in: confirm the IP, correct it, or write UNKNOWN/UNDETERMINED)",confidence (fill in: HIGH|MEDIUM|LOW),evidence_reference_for_decision,reviewer
REV-ATTR-0001,ATTR-SCN-SESSION-BOUNDARY-001-CAMP_23FB320A,SCN-SESSION-BOUNDARY-001,CAMP_23FB320A,192.168.56.105,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_23FB320A; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_1429ADB4, attacker 192.168.56.105 -> victim pes1ug23cs411-VirtualBox, risk 34820)']",,,,
REV-ATTR-0002,ATTR-SCN-SESSION-BOUNDARY-001-CAMP_1429ADB4,SCN-SESSION-BOUNDARY-001,CAMP_1429ADB4,192.168.56.105,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_1429ADB4; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_1429ADB4, attacker 192.168.56.105 -> victim pes1ug23cs411-VirtualBox, risk 34820)']",,,,
REV-ATTR-0003,ATTR-SCN-SESSION-BOUNDARY-001-CAMP_F91A7652,SCN-SESSION-BOUNDARY-001,CAMP_F91A7652,192.168.56.105,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_F91A7652; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_1429ADB4, attacker 192.168.56.105 -> victim pes1ug23cs411-VirtualBox, risk 34820)']",,,,
REV-ATTR-0004,ATTR-SCN-SESSION-BOUNDARY-001-CAMP_066240B7,SCN-SESSION-BOUNDARY-001,CAMP_066240B7,192.168.56.105,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_066240B7; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_1429ADB4, attacker 192.168.56.105 -> victim pes1ug23cs411-VirtualBox, risk 34820)']",,,,
REV-ATTR-0005,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_5DD3F083,SCN-SESSION-BOUNDARY-002,CAMP_5DD3F083,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_5DD3F083; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0006,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_A93237FD,SCN-SESSION-BOUNDARY-002,CAMP_A93237FD,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_A93237FD; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0007,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_B12C16D4,SCN-SESSION-BOUNDARY-002,CAMP_B12C16D4,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_B12C16D4; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0008,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_1627943B,SCN-SESSION-BOUNDARY-002,CAMP_1627943B,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_1627943B; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0009,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_BB9A0F28,SCN-SESSION-BOUNDARY-002,CAMP_BB9A0F28,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_BB9A0F28; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
REV-ATTR-0010,ATTR-SCN-SESSION-BOUNDARY-002-CAMP_0E9C0284,SCN-SESSION-BOUNDARY-002,CAMP_0E9C0284,192.168.56.106,"the campaign's real, directly-observed attacker_ip (a raw network fact, not an inference) used as the known identity -- compared at eval time against whether threat_attribution_engine's top-ranked similar-campaign candidate for this campaign shares the SAME real attacker_ip","real Campaign CAMP_0E9C0284; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_D8605E81, attacker 192.168.56.106 -> victim pes1ug23cs411-VirtualBox, risk 630)']",,,,
